mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.09636934598286946,0.010315003202777263,0.04182298978169759,0.0035120934991301456,,1,50,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 50}",-0.5283726027397255,-0.4690000000000009,-0.4358602739726037,-0.47774429223744336,0.038270787192751926,26
0.1738311449686686,0.003313433285260991,0.04760615030924479,0.012189582139028729,,1,100,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 100}",-0.5182561643835621,-0.47468904109588883,-0.4377753424657538,-0.47690684931506827,0.032893562481781456,24
0.3245406150817871,0.019104602339571154,0.06883422533671062,0.0027431225508885676,,1,200,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 200}",-0.5192191780821912,-0.47687739726026834,-0.4333499999999983,-0.4764821917808193,0.03505705898157155,22
0.10242390632629395,0.004665885940435731,0.03809507687886556,0.005248482756443327,,3,50,"{'max_depth': None, 'min_samples_leaf': 3, 'n_estimators': 50}",-0.503871294649034,-0.47723525025203173,-0.43310874012593154,-0.47140509500899913,0.029181361783133183,13
0.19410101572672525,0.018466685157855798,0.0471640427907308,0.009671140907907343,,3,100,"{'max_depth': None, 'min_samples_leaf': 3, 'n_estimators': 100}",-0.5072753527446676,-0.4764278606097099,-0.43823948780291133,-0.4739809003857629,0.02823683614025348,18
0.29339806238810223,0.005007701875288512,0.05792880058288574,0.0013972171040902337,,3,200,"{'max_depth': None, 'min_samples_leaf': 3, 'n_estimators': 200}",-0.5080087336103775,-0.47528235052238405,-0.43730444196024465,-0.473531842031002,0.028891433844890894,16
0.09421555201212566,0.005858716522251495,0.0380252997080485,0.010205484759095945,,5,50,"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 50}",-0.4920350577907187,-0.4770436351278367,-0.4359337587532385,-0.468337483890598,0.02371619334895394,8
0.17311795552571616,0.010269532691018459,0.04261517524719238,0.007768518285947004,,5,100,"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 100}",-0.48973633891214663,-0.4717926209927984,-0.4375018377604392,-0.46634359922179475,0.021669943183090942,2
0.2967548370361328,0.023104382100607092,0.061524391174316406,0.0013014946820164078,,5,200,"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 200}",-0.49149365121975663,-0.47203546231209403,-0.4370300465031244,-0.46685305334499166,0.02253462641816099,6
0.09084113438924153,0.005193348561757913,0.03047776222229004,0.003320448306880537,8,1,50,"{'max_depth': 8, 'min_samples_leaf': 1, 'n_estimators': 50}",-0.5282031572124013,-0.47105377826686456,-0.4285683175832189,-0.4759417510208282,0.040822334779022154,21
0.15888015429178873,0.010301268520113286,0.050075928370157875,0.004972260618475244,8,1,100,"{'max_depth': 8, 'min_samples_leaf': 1, 'n_estimators': 100}",-0.5209910852649122,-0.4714825458848298,-0.43347918915674005,-0.47531760676882734,0.03582935257671523,20
0.33768630027770996,0.041916269255830856,0.05951833724975586,0.002251179719890576,8,1,200,"{'max_depth': 8, 'min_samples_leaf': 1, 'n_estimators': 200}",-0.5172597579246971,-0.46693569030867327,-0.42940389333437917,-0.47119978052258316,0.035993518719739374,11
0.10919857025146484,0.012791348222151205,0.03113245964050293,0.0008580340066455824,8,3,50,"{'max_depth': 8, 'min_samples_leaf': 3, 'n_estimators': 50}",-0.5041209372022672,-0.47694895603788157,-0.43158927181792034,-0.4708863883526897,0.0299196330866525,10
0.1672691504160563,0.004820792235234131,0.04219325383504232,0.004847069729204239,8,3,100,"{'max_depth': 8, 'min_samples_leaf': 3, 'n_estimators': 100}",-0.5073221832505385,-0.47458621779972143,-0.4370195833997584,-0.47297599481667274,0.028723492127363616,15
0.30001139640808105,0.022179024383765227,0.06414484977722168,0.003271134051303482,8,3,200,"{'max_depth': 8, 'min_samples_leaf': 3, 'n_estimators': 200}",-0.5080138876175532,-0.4729369332853385,-0.4338467677556282,-0.4715991962195066,0.03029337190977879,14
0.08453059196472168,0.007556817378203922,0.03477938969930013,0.00275829787780128,8,5,50,"{'max_depth': 8, 'min_samples_leaf': 5, 'n_estimators': 50}",-0.4920350577907187,-0.47626431103286976,-0.43561883690891356,-0.4679727352441674,0.023766365118811694,7
0.17083541552225748,0.01220288389430719,0.04175035158793131,0.0025125154263452554,8,5,100,"{'max_depth': 8, 'min_samples_leaf': 5, 'n_estimators': 100}",-0.48973633891214685,-0.47151862691137086,-0.4374326464772071,-0.4662292041002416,0.021677985082234383,1
0.3220268090565999,0.04528235627116986,0.0658564567565918,0.0038911553539921163,8,5,200,"{'max_depth': 8, 'min_samples_leaf': 5, 'n_estimators': 200}",-0.491493651219757,-0.4718124730752289,-0.436357745287845,-0.466554623194277,0.022814115071758137,4
0.09752217928568523,0.0030426717911428702,0.0410765806833903,0.003815694685186273,16,1,50,"{'max_depth': 16, 'min_samples_leaf': 1, 'n_estimators': 50}",-0.5281075342465748,-0.46884819110874,-0.4384455098934556,-0.4784670784162568,0.03723091813310423,27
0.16087468465169272,0.008422023702772957,0.05468543370564779,0.008053376384435025,16,1,100,"{'max_depth': 16, 'min_samples_leaf': 1, 'n_estimators': 100}",-0.5181085616438361,-0.4752921712229917,-0.43929607197216824,-0.4775656016129987,0.0322151982389818,25
